evaluations raw_y
1 307.1729850456
11 306.4300501229
14 236.4494002418
15 198.0044292343
19 196.3191511212
141 134.6658254041
146 127.2711015783
151 125.1655014814
176 355.4958948392
evaluations raw_y
1 307.1729850456
13 299.5487713581
14 290.0174303240
16 236.4494002418
17 196.3191511212
141 166.0097954172
155 130.7354406963
162 113.5536413690
173 252.9165431060
evaluations raw_y
1 307.1729850456
11 299.5487713581
16 271.0043495726
18 236.4494002418
59 204.2133564674
92 177.5834090840
97 145.1112476379
101 120.2850788456
107 93.9573385003
125 249.7955778826
evaluations raw_y
1 307.1729850456
12 198.0044292343
17 196.3191511212
131 169.9238742696
132 155.3064847326
145 113.1660513709
158 109.2684503506
167 139.2102816314
evaluations raw_y
1 307.1729850456
15 306.4300501229
18 198.0044292343
76 197.5406394095
80 172.7400256105
82 143.1950169157
91 127.1166562703
125 322.0764940536
