evaluations raw_y
1 25.0364697600
38 18.1125589325
51 17.0407320746
63 5.1202849585
64 2.1754102125
66 1.9037754779
68 0.8075491811
71 0.2239345610
73 0.1876746238
75 0.0214425992
81 0.0144315514
105 0.0103500796
118 0.0075368213
119 0.0215316371
evaluations raw_y
1 25.0364697600
14 19.5900697600
15 16.6268697600
105 0.5608983401
106 0.3815228223
107 0.0822905914
114 0.0518390878
115 0.0175738592
121 0.0370839449
evaluations raw_y
1 25.0364697600
15 16.6268697600
121 88.4960606837
evaluations raw_y
1 25.0364697600
19 16.6268697600
121 20.8313096880
evaluations raw_y
1 25.0364697600
45 23.1564797346
46 20.2136868491
74 3.6110574875
76 3.0393078985
77 1.1365822393
79 0.9084740943
80 0.3067869026
83 0.0910219004
86 0.0592045819
87 0.0550432424
89 0.0219401898
91 0.0101534854
123 0.0266289223
