evaluations raw_y
1 66.9465526857
15 64.2980776077
18 56.9596001855
121 85.6810972963
evaluations raw_y
1 66.9465526857
14 64.2980776077
20 43.6749560895
118 33.7745218093
177 31.1832126679
180 30.7747764949
181 11.5938196722
evaluations raw_y
1 66.9465526857
12 43.6749560895
49 35.7216508839
74 27.3852123818
82 21.0410528728
92 20.8093665169
93 19.1145527510
95 18.5776443100
96 18.3815570539
98 18.0332679422
99 17.6907731960
101 17.6154182984
104 16.9790993552
106 16.4534781735
107 15.6935467792
108 14.6966174542
109 14.0060383858
112 12.9649977940
113 12.0115648064
114 10.9672731358
115 10.4504574857
116 11.5009343669
evaluations raw_y
1 66.9465526857
13 64.2980776077
17 56.9596001855
121 85.8955189682
evaluations raw_y
1 66.9465526857
12 43.6749560895
32 40.1514561489
48 37.5825012310
117 78.4252891231
