evaluations raw_y
1 307.1729850456
11 306.4300501229
14 236.4494002418
15 198.0044292343
19 196.3191511212
137 192.6744587103
141 153.0988888086
157 122.4808874112
172 325.8735630787
evaluations raw_y
1 307.1729850456
13 299.5487713581
18 271.0043495726
20 196.3191511212
140 192.4912722160
149 181.4041254237
150 153.9776755791
154 138.5270868608
163 349.6042823768
evaluations raw_y
1 307.1729850456
12 236.4494002418
14 196.3191511212
131 194.6394724190
136 193.5062692672
142 157.5941416236
149 97.2693938854
180 148.5166759854
evaluations raw_y
1 307.1729850456
11 198.0044292343
13 196.3191511212
78 160.5733153510
86 137.6334987306
97 132.2541069168
100 100.5406508912
121 165.0417706625
evaluations raw_y
1 307.1729850456
15 198.0044292343
80 166.0228479496
88 152.3764095832
103 134.0034745456
116 127.8223510128
119 127.5780084201
123 88.1242720064
124 203.5563766969
