evaluations raw_y
1 25.0364697600
17 16.6268697600
93 4.7549298408
94 0.6479953345
97 0.3511598750
100 0.1713000817
102 0.0319059213
105 0.0272476446
112 0.0187576805
115 0.0147571660
121 0.0318580995
evaluations raw_y
1 25.0364697600
14 16.6268697600
106 0.2181402642
108 0.1521119918
111 0.0908134989
114 0.0407311874
116 0.0090024146
121 0.0408642214
evaluations raw_y
1 25.0364697600
71 1.7285365998
72 1.3591482857
75 1.2282140754
77 0.8041769440
80 0.0795684658
85 0.0169616922
90 0.0142095827
99 0.0125637851
112 0.0105219906
118 0.0090174065
119 0.0137020107
evaluations raw_y
1 25.0364697600
16 16.6268697600
121 18.3251170593
evaluations raw_y
1 25.0364697600
34 21.2968305679
62 5.4501042933
63 4.8726175117
64 3.0471236393
66 1.6072043578
67 1.3627153548
69 1.0555619034
72 0.3147306467
75 0.1177907270
78 0.0931121677
80 0.0494876036
85 0.0041861801
118 10.4301445559
