evaluations raw_y
18 56.9596001855
121 86.4380968522
evaluations raw_y
1 66.9465526857
11 64.2980776077
13 56.9596001855
50 46.1760910258
126 33.3635806394
131 28.1543372477
133 27.1553469228
134 21.1033945362
135 21.0955276846
143 16.9421035813
144 16.8062634377
145 14.3144751763
147 11.8945304233
152 9.7474959930
153 8.3126206740
154 7.4009407512
155 7.1393316478
157 5.8594313421
158 4.3750066006
159 4.1168911087
161 3.1611174311
162 2.0430176243
164 1.9643107456
168 1.8748475417
172 1.9656476619
evaluations raw_y
1 66.9465526857
12 64.2980776077
16 56.9596001855
18 43.6749560895
220 85.8087959626
evaluations raw_y
1 66.9465526857
11 43.6749560895
143 30.2781072071
146 25.2224715196
147 23.4833870641
148 20.3448577108
149 18.6543753150
151 16.3117050674
153 15.9057544823
157 15.2374717872
158 14.1332013021
159 13.8584671653
160 13.6674279018
164 13.2282245271
166 13.0264604807
167 13.0000050499
170 12.9586847673
evaluations raw_y
1 66.9465526857
11 64.2980776077
121 85.1951802943
