evaluations raw_y
1 56959284.5127411485
5 49163791.5386925414
9 43970777.8250506371
16 43420797.9408429712
17 43339467.3093933612
19 43292378.3886192217
22 43291945.9573699906
23 43291046.9793846086
24 43290544.1896761730
25 43290352.7945044190
26 43290296.7613264918
30 43290265.9805591404
100 43301101.1535154581
evaluations raw_y
1 93292137.1150586754
3 28456830.1636175215
14 28018542.8105999380
15 26862493.4250024855
16 26627780.1353758797
17 26341059.9738566130
18 26234148.3579219170
27 26231522.6039443687
28 26230247.7409136742
29 26229531.4883294590
30 26229071.4511605799
31 26228756.4860435650
32 26228541.7592561245
34 26228173.1151717268
35 26227986.8158659004
36 26227885.8812888414
37 26227829.6271100715
38 26227798.5464887396
39 26227782.1248413771
40 26227774.4439205155
41 26227771.8120089024
100 26228182.6191122457
evaluations raw_y
1 179179832.2191528082
2 35275164.9811162725
16 34645952.3637441322
17 34640433.5431092158
20 34580961.3292782679
22 34577864.8881382421
23 34575624.9491104335
24 34574914.6471530795
25 34574429.8969179913
26 34574150.7125550359
27 34573969.6872116774
28 34573851.9552626610
30 34573638.7760764584
31 34573634.2734560668
32 34573626.6380446479
33 34573623.0231329277
34 34573621.5910339728
35 34573621.4848450273
100 34574860.7286829576
evaluations raw_y
1 59687011.9676778167
2 52200395.8885084093
4 38249929.5836125687
8 34449320.0235967040
12 33424639.8770524040
19 32605275.9554870240
20 32059675.4622193910
21 32012554.9432476237
34 32006028.2708234340
35 32003756.9475093558
36 32003294.5563199483
41 31997954.1914284602
100 31998651.7294158004
evaluations raw_y
1 46597137.2909545600
4 36289745.2475307956
12 35842124.8608647361
16 35832394.2917434126
17 35832358.1080596000
18 35832284.4802478701
19 35832222.5508219823
20 35832166.2668460086
21 35832115.6977984458
22 35832071.5410043523
23 35832034.0835457146
24 35832003.8517697304
25 35831980.3424695879
26 35831963.4231112301
27 35831952.1898498535
28 35831946.0290560797
29 35831943.9007854313
100 35832536.0844290480
