evaluations raw_y
1 271126092.7325075865
2 242641485.4035404623
3 231350647.0323030651
4 214395871.1594741046
5 194053918.3931274414
20 194053918.3931274414
evaluations raw_y
1 367430918.3691175580
2 196209890.1903979480
3 168418674.9945183098
4 151053163.1542722881
20 151053163.1542722881
evaluations raw_y
1 362572864.9664006829
2 139474604.8687250614
4 124669628.7469590902
20 124669628.7469590902
evaluations raw_y
1 195822177.0572704673
3 177986509.8667519987
20 177986509.8667519987
evaluations raw_y
1 390424305.4165191054
2 134673479.8333984613
3 93927939.5669244677
4 70749307.6022107750
20 70749307.6022107750
