evaluations raw_y
1 328.5417551985
2 318.2451622917
7 246.6254947512
15 240.9881263112
17 238.8042268875
26 229.3264843441
48 225.0837620458
100 321.1974660321
evaluations raw_y
1 345.8076524746
2 345.3440842741
3 260.3634764047
5 232.5230959147
12 215.8513901023
18 212.7068419211
22 205.5384844421
25 200.4127736433
43 190.9193186877
78 189.1391954806
96 189.0239492473
100 318.0263947576
evaluations raw_y
1 277.6553623357
11 205.4235337718
13 194.4295082401
55 194.4047363499
57 149.8664304439
100 220.3667870840
evaluations raw_y
1 428.4807594314
2 348.9357618523
3 272.2080337662
7 267.8328204610
13 214.0830770077
23 211.0214478493
36 210.9091959701
74 208.8647842352
88 194.0560158426
100 332.3488448187
evaluations raw_y
1 298.1014916105
2 251.8407976988
11 206.7445653026
78 200.8378420359
82 200.2347019838
98 199.1981855090
100 311.5193901673
