evaluations raw_y
1 26.7648941045
5 19.7750367280
9 18.5532895319
13 18.5377923332
14 18.5362952176
18 18.5338585255
21 18.5338518457
100 18.5338999767
evaluations raw_y
1 37.7734016755
4 32.8429756134
5 27.4062467370
7 24.4882343161
13 23.5589030463
15 23.3731129314
16 23.3708552865
33 23.3707984174
73 23.3707923343
100 23.3707964165
evaluations raw_y
1 28.1599682418
2 23.0391317266
11 21.9083855355
17 21.7920004905
18 21.7916851422
19 21.7916824159
20 21.7916822162
100 21.7917260017
evaluations raw_y
1 50.8427646526
2 17.3334282836
12 16.7446591107
13 16.7198342763
14 16.7077748957
15 16.7031167694
16 16.7019952208
17 16.7018969035
32 16.7018204560
33 16.7015591071
34 16.7012815619
35 16.7011217600
36 16.7010787053
69 16.7002554692
70 16.6995063640
71 16.6992282989
72 16.6991457025
73 16.6991002011
74 16.6990731524
75 16.6990607157
76 16.6990573553
100 16.6990589313
evaluations raw_y
1 29.2614199479
4 25.3090122865
5 22.9538489941
13 21.5542567382
15 21.4022322866
17 21.3170429705
18 21.3159872635
19 21.3159468265
51 21.3148277240
53 21.3142617146
54 21.3141638031
55 21.3141553779
56 21.3141535119
57 21.3141514288
58 21.3141489312
59 21.3141461006
100 21.3141945446
