evaluations raw_y
1 9.6203930643
3 8.0836570516
5 7.5034727590
6 6.1933741935
8 6.0160483143
9 6.0085733767
10 6.0084943982
11 6.0084102568
12 6.0083642917
13 6.0083304895
14 6.0083039929
15 6.0082825005
16 6.0082647193
17 6.0082498596
18 6.0082373144
19 6.0082267294
20 6.0082175931
evaluations raw_y
1 12.1156875153
2 5.8144495211
3 2.6051168092
4 2.1263683257
20 2.1263683257
evaluations raw_y
1 11.2283023114
2 7.5363729033
9 7.5327841814
14 7.5086683211
15 7.5086682417
20 7.5086711407
evaluations raw_y
1 13.1020251099
2 9.8628898258
3 8.3589740848
6 8.3534803578
8 8.3514520538
9 8.2610638969
20 8.2610638969
evaluations raw_y
1 8.2366886834
2 3.9250723775
3 1.9899664302
4 1.8951403479
5 1.8941833302
7 1.8898609448
8 1.8846459736
9 1.8815656000
20 1.8816865806
