evaluations raw_y
1 7.7502923054
4 1.8029810967
6 0.0885279637
7 0.0260157453
20 0.0268054287
evaluations raw_y
1 326.2259972411
2 5.4246065735
5 0.1693810677
7 0.0377833494
14 0.0271989861
20 0.0310798952
evaluations raw_y
1 1505.3917126920
2 6.9128373230
9 2.0236740189
10 2.0236665079
11 0.1156120488
20 0.2602586925
evaluations raw_y
1 174.6353916737
2 0.0869635741
7 0.0260849196
20 0.0958075562
evaluations raw_y
1 367.8763728880
2 138.2211557309
4 76.1751988623
5 27.2167263026
6 2.6501329441
8 0.3314437102
10 0.1054760172
11 0.1000346262
12 0.0913134357
13 0.0854904685
14 0.0801854808
15 0.0747768656
16 0.0689862874
17 0.0629483033
18 0.0569444379
19 0.0513955454
20 0.0465635568
