evaluations raw_y
1 50566529.0452525616
3 9694622.3301178776
11 7251368.2154197916
16 7126101.5274814302
17 7126094.5804006094
81 7126094.1590569811
82 7126093.8121264474
100 7126100.9245874956
evaluations raw_y
1 73266743.6871165335
2 34060988.2679762095
15 34003431.5623031780
18 33902329.7728933841
20 33684433.9431802630
21 33679162.2563424259
22 33678475.0289444923
23 33678446.4088796228
34 33678216.0482686535
38 33669661.6930735633
39 33669569.7347306982
40 33669504.1525323913
42 33669481.1244003028
43 33669458.4144290090
44 33669439.5739063174
45 33669423.7720595002
46 33669410.1740601659
47 33669397.5651035607
48 33669387.2735334262
49 33669377.6433964521
50 33662798.4617221653
100 33663123.7493598983
evaluations raw_y
1 71729749.6923618615
2 47673561.9316454753
4 43960305.4739678353
6 42019685.8701408133
11 41124266.9587419555
12 39848025.0951344445
14 39644670.6025009304
17 39627049.2377263308
22 39627020.5375064611
23 39626957.1858582199
24 39626894.4119554684
25 39626833.6763441414
26 39626776.9921869189
27 39626726.4310201481
28 39626683.6687832475
29 39626648.9449760169
30 39626622.2225031480
32 39626583.7329159826
33 39626580.1354157701
34 39626577.6736456379
35 39626575.6741315797
36 39626574.0132897794
37 39626572.7198938876
38 39626571.6431630850
39 39626570.8297296017
40 39626570.1861726046
41 39626569.6480857432
100 39626627.6196564138
evaluations raw_y
1 230638135.3304804862
2 42812503.7275539637
11 41836908.1818879992
18 41563295.3956716061
19 40922890.3985625207
22 40902729.7593171448
26 40888522.6183490157
27 40888454.7407083958
28 40888245.4997622967
39 40888195.7310836017
41 40888118.4083627313
42 40887995.4132539555
44 40887831.3444955647
45 40887684.9897750169
46 40887595.5388702452
48 40887215.6287025884
49 40887204.5520598963
50 40886959.1949954852
51 40886885.5478628203
52 40886695.0109080672
54 40886035.9333635494
56 40885866.8718891293
57 40885722.9233684838
58 40885677.7406133860
100 40885722.5534735620
evaluations raw_y
1 39202564.8753330335
8 36701639.0205647349
12 29125572.7088762000
38 29120990.4910926856
48 29104153.4405147508
55 29103531.3098923787
68 29102087.3338869028
69 29102085.8087626100
70 29101963.6073329747
72 29101955.3997929692
73 29101801.3757326156
100 29112264.6796399802
