evaluations raw_y
1 304.9115323989
7 262.5081835555
14 244.7175572115
24 235.5045040345
26 231.5257413453
36 221.7305156847
72 219.6530154197
100 292.5608569415
evaluations raw_y
1 284.8844706376
7 276.2842180786
14 264.7455180881
31 255.6658470539
37 247.1404592613
77 242.4314071843
84 238.2699426781
100 305.3757050458
evaluations raw_y
1 244.8076679836
11 227.5103640751
21 213.5061542779
39 207.2420076051
49 206.5219399207
60 194.5033089260
72 191.7915689268
100 256.4360058056
evaluations raw_y
1 356.7717055178
3 214.8426418388
23 200.7677016333
67 183.4344017380
71 183.0036476939
100 215.1587869707
evaluations raw_y
1 280.0716119218
2 269.3315780629
18 267.5628808108
20 265.0968784410
37 262.7326475584
44 253.6972974914
82 252.5883581647
83 249.9536695986
85 246.9435907029
100 428.5244203100
