evaluations raw_y
1 30.8062303114
2 30.7509388664
3 25.2684285830
11 22.0939511267
14 22.0631258396
15 22.0470637679
25 22.0407387484
26 22.0376301875
27 22.0372472700
28 22.0366726268
29 22.0360392127
30 22.0355650706
31 22.0353178219
32 22.0352228786
33 22.0351919795
34 22.0351818358
35 22.0351782281
36 22.0351768537
37 22.0351756699
38 22.0351750909
39 22.0351746625
40 22.0351745725
94 22.0351740796
99 22.0351707425
100 22.0357626026
evaluations raw_y
1 56.2818527238
2 39.8976897717
3 39.0959814018
4 38.4393878954
5 32.0019667794
6 28.5365561751
7 22.6281519858
12 21.8463804275
13 21.8185162142
14 21.7949219419
20 21.7949005598
21 21.7948665939
22 21.7948351675
23 21.7947543094
35 21.7947294920
78 21.7947245893
84 21.7947231312
87 21.7947208878
93 21.7947174843
95 21.7947109971
100 21.7947250739
evaluations raw_y
1 37.5590362247
2 30.0012218848
8 29.6214663709
9 27.2442405029
11 24.0717577641
15 24.0443042592
17 24.0440943047
18 24.0440454695
19 24.0440261486
20 24.0440212186
28 24.0437220027
100 24.0446650525
evaluations raw_y
1 34.6543562197
2 25.0526372790
11 24.1439982393
13 23.8763530343
14 23.8640920691
15 23.8614763960
16 23.8613420450
20 23.8610168764
22 23.8606485881
23 23.8606200637
24 23.8605577917
25 23.8605195813
26 23.8604877387
27 23.8604621892
28 23.8604423109
29 23.8604278858
30 23.8604186734
31 23.8604137613
32 23.8604117646
33 23.8604114601
45 23.8604098236
75 23.8603906784
79 23.8603780061
81 23.8603574580
83 23.8603457419
100 23.8603844341
