evaluations raw_y
1 81.5199964756
2 67.2404229269
5 55.0603942342
8 51.6781056672
14 50.8361494568
21 50.6100595445
26 50.5722921821
31 50.5718006200
32 50.5715958396
37 50.5710146371
43 50.5699063016
66 50.5696652986
68 50.5696619257
69 50.5696615462
92 50.5693836563
100 50.5715395265
evaluations raw_y
1 70.2111724587
2 70.1649145026
5 69.1741077003
7 65.4709465121
11 63.8580718103
12 60.4778799683
14 58.2191540219
19 58.0714997601
39 58.0711254201
51 58.0706865164
54 58.0689521346
62 58.0689188267
78 58.0684300616
97 58.0674178350
100 58.0671237778
evaluations raw_y
1 77.6981991730
2 67.6411572151
8 65.5608134346
12 64.9958805092
16 64.9666230229
19 64.9574441104
44 64.9574432133
46 64.9574328757
47 64.9574299254
48 64.9574265283
49 64.9574238398
50 64.9574210493
51 64.9574184747
52 64.9574161621
59 64.9574145499
60 64.9574087033
61 64.9574034426
90 64.9573231780
94 64.9573160782
95 64.9573115170
96 64.9573069143
97 64.9573025800
98 64.9572988126
99 64.9572952950
100 64.9572920613
evaluations raw_y
1 70.4867196841
3 65.4345230568
18 65.4011594890
24 65.3930829186
26 65.3917976802
33 65.3917902844
34 65.3891959365
36 65.3789270549
37 65.3693794475
61 65.3693593306
100 65.3702266463
evaluations raw_y
1 77.7546958808
2 72.4790395940
10 71.0623834583
12 70.5853092348
15 65.2182998257
17 65.0641951550
21 65.0481839474
24 65.0468736031
26 65.0460076344
27 65.0452130434
28 65.0443965626
29 65.0436782207
30 65.0432501166
31 65.0430978344
32 65.0430641419
48 65.0430610981
49 65.0430578395
50 65.0430548028
51 65.0430520497
52 65.0430495430
53 65.0430472408
54 65.0430452180
55 65.0430431179
61 65.0430312283
62 65.0430305843
63 65.0430296047
64 65.0430287103
65 65.0430277950
66 65.0430269931
67 65.0430261929
68 65.0430254661
69 65.0430247053
70 65.0430240150
71 65.0430233458
72 65.0430226929
73 65.0430220686
74 65.0430215024
75 65.0430209546
76 65.0430203959
77 65.0430198667
78 65.0430193643
79 65.0430189039
80 65.0430184119
81 65.0430180152
82 65.0430175413
83 65.0430171279
84 65.0430167235
85 65.0430163322
86 65.0430159616
87 65.0430156162
88 65.0430152491
89 65.0430149265
90 65.0430146112
91 65.0430142963
92 65.0430139880
93 65.0430136974
94 65.0430134267
95 65.0430131415
96 65.0430129014
97 65.0430126306
100 65.0430245932
