evaluations raw_y
1 13066.6403199401
14 12454.6482783478
17 12437.4691788857
18 12376.4363782816
35 12376.3838230294
38 12376.2638180037
46 12376.1773939429
47 12375.9359137714
48 12375.8314522104
49 12375.8170968713
100 12376.8885881438
evaluations raw_y
1 82418.5667618655
2 19982.6387197089
4 11209.9615477889
11 7984.2883057007
12 5863.3965758574
13 5848.2062915400
19 5808.4193635347
21 5704.0454931078
22 5703.2331360025
23 5701.3314109511
24 5700.9914562425
48 5700.0948397701
50 5698.9805191405
58 5698.8286787074
93 5698.8087084377
94 5698.7911580005
95 5698.7805219744
97 5698.7633408505
98 5698.7579241769
100 5698.7980055863
evaluations raw_y
1 125316.0864858221
2 12667.5205563822
4 8615.7798439593
11 6628.5191965863
13 6334.2618195392
15 5905.1817620949
16 5730.5245375024
19 5727.5630520337
24 5726.7775447288
27 5724.3984954092
30 5723.8269085100
34 5723.6717701802
36 5723.6136684557
37 5723.5061349279
39 5723.4887780312
41 5723.2393107563
100 5724.2266732823
evaluations raw_y
1 15743.5212541287
7 9432.6072070359
12 7242.1882941420
14 7083.8907162306
15 6896.6905571938
17 6882.6340354302
19 6882.1798884014
100 6887.9103368799
evaluations raw_y
1 72248.8762078624
2 2003.3066745591
13 1967.2018886664
14 1965.7484171342
15 1907.3957303410
16 1824.1624580310
17 1760.2386389806
18 1729.9076738157
19 1720.5468914639
27 1720.2573353478
28 1719.9188851387
29 1719.6612299965
30 1719.5519996836
72 1719.3915404042
73 1719.2227740966
74 1719.0728645308
75 1718.9365112278
76 1718.8088529985
77 1718.6886561428
78 1718.5741367491
79 1718.4653379772
80 1718.3591945709
81 1718.2574291500
82 1718.1561654631
83 1718.0576614521
84 1717.9571914618
86 1717.8450259725
88 1717.7999892178
89 1717.7053523548
95 1717.6837381227
100 1718.3386228360
